0.2  -0.00067923 2.61688e-05
0.3  -0.000324707 6.76317e-06
0.4  -0.000275543 7.87038e-06
0.5  -0.000252472 8.87107e-06
0.6  -0.000438354 1.05678e-05
0.7  -0.000638947 1.22065e-05
0.8  -0.000938171 1.4646e-05
0.9  -0.00128314 1.77675e-05
1  -0.00165704 1.99681e-05
1.1  -0.00213 2.33533e-05
1.2  -0.00278589 2.83263e-05
1.3  -0.00346545 3.16853e-05
1.4  -0.00427155 3.78877e-05
1.5  -0.00495499 4.33093e-05
1.6  -0.00576279 5.03925e-05
1.7  -0.00663553 5.7407e-05
1.8  -0.00748102 6.23673e-05
1.9  -0.00825671 6.97797e-05
2  -0.00903827 7.49427e-05
2.1  -0.00982465 8.81146e-05
2.2  -0.010493 9.56288e-05
2.3  -0.0115068 0.000112025
2.4  -0.0126284 0.000131565
2.5  -0.0128066 0.000159227
2.6  -0.0126989 0.000156618
2.7  -0.0124043 0.000155006
2.8  -0.0122998 0.000167795
2.9  -0.0120146 0.000169694
3  -0.0120581 0.00016211
3.1  -0.0118462 0.000170164
3.2  -0.0114354 0.000176533
3.3  -0.0116012 0.000168959
3.4  -0.0110732 0.000179048
3.5  -0.0110938 0.000178819
3.6  -0.010313 0.000175977
3.7  -0.01059 0.000171092
3.8  -0.0104468 0.000178939
3.9  -0.0106184 0.000186898
4  -0.0101646 0.000178298
4.1  -0.010113 0.000169733
4.2  -0.0100269 0.000179709
4.3  -0.00975385 0.000174857
4.4  -0.00915237 0.000186674
4.5  -0.0098035 0.000178669
4.6  -0.00930685 0.000180095
4.7  -0.00918094 0.000189264
