0 1
1 -0.14093
2 -0.125885
3 -0.0227051
4 -0.00753784
5 -0.0567017
6 -0.0218201
7 -0.0274353
8 -0.0227661
9 -0.0272827
10 -0.0179138
11 -0.0239258
12 -0.0195007
13 -0.0220032
14 -0.02005
15 -0.0210266
16 -0.0197144
17 -0.0194397
18 -0.0205688
19 -0.0176086
20 -0.0205383
21 -0.0181885
22 -0.0203857
23 -0.016449
24 -0.0196838
25 -0.0194397
26 -0.0159912
27 -0.0174255
28 -0.019104
29 -0.0170288
30 -0.0176392
31 -0.0179138
32 -0.0158691
33 -0.0201111
34 -0.0159912
35 -0.0159302
36 -0.015564
37 -0.016449
38 -0.0161743
39 -0.0160217
40 -0.0139465
41 -0.0168457
42 -0.0150757
43 -0.01474
44 -0.0163879
45 -0.015686
46 -0.0160828
47 -0.0157166
48 -0.0149536
49 -0.0155029
50 -0.0133667
51 -0.0173035
52 -0.0133667
53 -0.015686
54 -0.0134888
55 -0.0153503
56 -0.0133972
57 -0.0169983
58 -0.0130005
59 -0.0164795
60 -0.0146179
61 -0.0151978
62 -0.0137939
63 -0.0146179
64 -0.0141907
65 -0.0144043
66 -0.0120239
67 -0.0154114
68 -0.0126038
69 -0.0142822
70 -0.0152283
71 -0.0115051
72 -0.0145264
73 -0.0150146
74 -0.0134888
75 -0.0135193
76 -0.0124817
77 -0.0152893
78 -0.0117798
79 -0.0128174
80 -0.0164795
81 -0.0106506
82 -0.0155334
83 -0.0114746
84 -0.0161133
85 -0.0116882
86 -0.01474
87 -0.0140076
88 -0.0130005
89 -0.0142212
90 -0.0135803
91 -0.0128479
92 -0.0135803
93 -0.0145874
94 -0.0112305
95 -0.0141296
96 -0.0132446
97 -0.0112915
98 -0.0157166
99 -0.0107422
